"L5W","L55G","L2W","L25G","Control","TA1","TA2","TA3","TA4","PS1","PS2","PS3","PS4","PS5","TT1","TT2","TT3","TT4","EE1","EE2","EE3","EE4","PE1","PE2","PE3","BI1","BI2","BI3","gender","age","occupation","TA","PS","TT","EE","PE","BI","PS3_rev","Text","Level","Network","sentiment","TOPIC1","TOPIC2","TOPIC3","TOPIC4","TOPIC5","TOPIC6"
"","Non. La 5G d'aujourd'hui, je ne suis pas pour, rien que pour les problèmes de santé potentiel évoqués lors des dernières études.","","",7,5,3,1,1,5,4,5,4,2,6,4,5,4,3,3,3,3,3,4,5,4,5,6,1,25,1,2.33333333333333,4.66666666666667,4.75,3,4,5,2," Non. La 5G d'aujourd'hui, je ne suis pas pour, rien que pour les problèmes de santé potentiel évoqués lors des dernières études.  ","Level5","5G",-1,0,0.98,0,0.02,0,0
"Non je ne serai pas maître. Il ne faut pas qu'il y ait des problèmes de connexion car aucun mode manuel disponible. ","","","",1,2,4,3,4,5,6,4,2,4,2,3,3,3,1,4,3,1,4,3,2,4,5,5,1,41,2,3,5,2.75,2.25,3,4.66666666666667,3,"Non je ne serai pas maître. Il ne faut pas qu'il y ait des problèmes de connexion car aucun mode manuel disponible.    ","Level5","wifi",-1,0.04,0.04,0.16,0,0,0.76
"","Si ce véhicule cause 10 x moins de morts que les humains, je suis en sécurité, si la 5G peut y contribuer, tant mieux.","","",5,7,7,7,7,1,3,5,5,3,4,2,2,2,1,1,1,1,1,1,1,3,2,3,1,52,2,7,3,2.5,1,1,2.66666666666667,2," Si ce véhicule cause 10 x moins de morts que les humains, je suis en sécurité, si la 5G peut y contribuer, tant mieux.  ","Level5","5G",1,0.5,0.5,0,0,0,0
"","Je ne suis pas maître de mon véhicule. Tout comme je ne le suis pas à bord d'un taxi par exemple. Le fait d'être connecté via la 5G permet d'être relativement serein quant à la qualité du réseau que nécessite la voiture. Toutefois, son efficacité reste à prouver.","","",6,5,5,5,3,2,5,5,5,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,1,22,1,4.33333333333333,4,2.5,2,2,3,2," Je ne suis pas maître de mon véhicule. Tout comme je ne le suis pas à bord d'un taxi par exemple. Le fait d'être connecté via la 5G permet d'être relativement serein quant à la qualité du réseau que nécessite la voiture. Toutefois, son efficacité reste à prouver.  ","Level5","5G",1,0,0,0.25,0.75,0,0
"Non je ne serai pas maître de mon véhicule . Je ne suis pas pour être connecté via le wifi car l’on pourrait me surveiller à distance. Ce serait une intrusion dans ma vie privée.","","","",3,1,7,6,7,7,7,1,1,3,4,6,7,7,1,3,1,1,7,7,7,7,7,7,1,60,3,4.66666666666667,5,6,1.5,7,7,6,"Non je ne serai pas maître de mon véhicule . Je ne suis pas pour être connecté via le wifi car l’on pourrait me surveiller à distance. Ce serait une intrusion dans ma vie privée.   ","Level5","wifi",-3,0,0,0.2,0.8,0,0
"","","","Tres loin d avoir confiance a ces voitures et qui assurera ci il y a un problème je préfère comté que sur moi même ",7,1,1,1,4,7,6,1,1,4,6,4,2,4,6,5,5,5,6,6,6,7,7,7,1,40,2,2,4.66666666666667,4,5.25,6,7,6,"   Tres loin d avoir confiance a ces voitures et qui assurera ci il y a un problème je préfère comté que sur moi même ","Level2","5G",1,0,0,0.233333333333333,0.05,0,0.716666666666667
"Maître : non puisqu’il s’occupe de tout. Choix du wifi : discutable, et la question ne devrait pas être posée. Cela ne regarde pas l’utilisateur. Par contre je ne pense pas que cela soit assez « fiable »","","","",7,7,6,6,5,3,3,5,6,1,3,1,2,2,5,4,3,4,2,1,1,1,2,2,1,51,2,6,3.66666666666667,2,4,1.33333333333333,1.66666666666667,2,"Maître : non puisqu’il s’occupe de tout. Choix du wifi : discutable, et la question ne devrait pas être posée. Cela ne regarde pas l’utilisateur. Par contre je ne pense pas que cela soit assez « fiable »   ","Level5","wifi",-1,0,0,0,1,0,0
"","Non, je ne suis pas maître du véhicule. Il y a beaucoup beaucoup de risques à être connecté à la 5G : piratage, risque de réseau, risque en cas de problème énergétique, catastrophe naturelle, etc.","","",7,5,7,6,3,3,3,5,2,3,3,2,2,3,1,3,1,1,1,1,4,3,4,4,2,33,2,4.66666666666667,3.66666666666667,2.5,1.5,2,3.66666666666667,2," Non, je ne suis pas maître du véhicule. Il y a beaucoup beaucoup de risques à être connecté à la 5G : piratage, risque de réseau, risque en cas de problème énergétique, catastrophe naturelle, etc.  ","Level5","5G",-6,0,0.5875,0,0.4125,0,0
"Non je ne suis pas maître de mon véhicule puisque je ne le contrôle pas. La connexion wifi est pour moi un plus mais je ne pense pas que ce soit le seul outil qui permet de dire que le véhicule s'adapte à son environnement. Pour moi le wifi a du sens si toutes les autres voitures sont autonomes","","","",7,1,6,2,6,7,6,1,3,3,7,4,7,7,3,3,5,3,3,5,7,7,7,7,2,25,1,3,4.66666666666667,6.25,3.5,5,7,6,"Non je ne suis pas maître de mon véhicule puisque je ne le contrôle pas. La connexion wifi est pour moi un plus mais je ne pense pas que ce soit le seul outil qui permet de dire que le véhicule s'adapte à son environnement. Pour moi le wifi a du sens si toutes les autres voitures sont autonomes   ","Level5","wifi",0,0.25625,0,0.45625,0.0125,0.25625,0.01875
"","Bah non, pas plus que dans un transport collectif... La 5g ? Cela fait aussi peur que les ondes radio au début de la TSF...","","",7,4,6,4,4,4,4,4,3,4,5,4,4,4,1,4,2,4,4,4,4,4,4,4,1,53,2,4,4,4.25,2.75,4,4,3," Bah non, pas plus que dans un transport collectif... La 5g ? Cela fait aussi peur que les ondes radio au début de la TSF...  ","Level5","5G",-3,0.5,0,0,0,0.442857142857143,0.0571428571428571
