"L2_O","L2_C","L5_O","L5_C","year1","year3","year5","year10","gender","age","emploi","Text","Level","Data","sentiment","docname","Segment","WPS","WC","Sixltr","Dic","fonction","pronom","pronomp","je","nous","vous","il","ils","pronomimp","article","verbe","verbeauxi","verbepassé","verbeprésent","verbefutur","adverbe","préposition","conjonction","négation","quantifieur","nombre","juron","social","famille","ami","humain","affect","émopos","émonég","anxiété","colère","tristesse","cognition","perspicacité","cause","divergence","tentative","certitude","inhibition","inclusion","exclusion","perception","voir","entendre","sentir","biologique","corps","santé","sexualité","alimentation","relativité","mouvement","espace","temps","travail","accomplissement","loisir","maison","argent","religion","mort","consentement","hésitation","remplisseur","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"Ce nouveau concept est pratique car mais ce que je trouve dommage c'est que je ne peux plus conduire par plaisir vu que tout est automatisé ","","","",3,3,30,80,2,24,2,"Ce nouveau concept est pratique car mais ce que je trouve dommage c'est que je ne peux plus conduire par plaisir vu que tout est automatisé    ","Level2","Car",3,"text1",1,26,26,26.92,350,50,15.38,15.38,7.69,0,0,7.69,0,0,0,30.77,11.54,7.69,19.23,0,7.69,7.69,19.23,3.85,7.69,0,0,0,0,0,0,11.54,7.69,3.85,0,0,3.85,26.92,3.85,3.85,3.85,3.85,3.85,0,15.38,11.54,3.85,3.85,0,0,0,0,0,0,0,15.38,3.85,0,3.85,3.85,3.85,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,3.85,3.85,0,3.85
"","Je me sens à moitié maître de mon véhicule. L'équipement de ma voiture me donne la sensation d'en être maître mais l'IA prend le dessus quant à ses fonctionnalités.","","",50,0,0,0,2,24,3," Je me sens à moitié maître de mon véhicule. L'équipement de ma voiture me donne la sensation d'en être maître mais l'IA prend le dessus quant à ses fonctionnalités.  ","Level2","Cloud",1,"text2",2,15.5,31,16.13,267.74,45.16,22.58,22.58,16.13,0,0,3.23,3.23,0,12.9,12.9,3.23,0,9.68,0,0,12.9,3.23,0,3.23,0,0,3.23,0,0,0,3.23,3.23,0,0,0,0,12.9,3.23,0,3.23,0,0,0,6.45,3.23,9.68,0,0,9.68,3.23,3.23,0,0,0,9.68,3.23,6.45,0,6.45,6.45,0,0,0,0,0,0,0,0,16.13,6.45,0,0,0,0,0,0,9.68,9.68,0,16.13
"","","Inquiet quant à la possibilité de reprendre la main en cas de besoin. Pas question de faire entièrement confiance au véhicule.","",0,0,0,0,1,57,2,"  Inquiet quant à la possibilité de reprendre la main en cas de besoin. Pas question de faire entièrement confiance au véhicule. ","Level5","Car",-1,"text3",3,11.5,23,30.43,278.26,43.48,0,0,0,0,0,0,0,0,26.09,13.04,0,0,4.35,0,4.35,26.09,0,4.35,0,0,0,0,0,0,0,13.04,4.35,4.35,4.35,0,0,34.78,4.35,4.35,0,8.7,8.7,4.35,8.7,4.35,4.35,0,0,4.35,8.7,4.35,0,0,0,8.7,4.35,4.35,0,4.35,8.7,0,0,0,0,0,0,0,0,8.7,8.7,0,0,0,0,0,0,0,0,0,8.7
"","","","Manque de confiance par manque d'habitude l'ordinateur étant à distance je ne me sent pas prête pour ce genre de véhicule",2,20,50,90,2,57,2,"   Manque de confiance par manque d'habitude l'ordinateur étant à distance je ne me sent pas prête pour ce genre de véhicule","Level5","Cloud",-1,"text4",4,21,21,23.81,271.43,47.62,14.29,14.29,9.52,0,0,4.76,0,0,9.52,4.76,0,0,4.76,0,0,23.81,0,9.52,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,9.52,28.57,4.76,0,0,0,4.76,4.76,4.76,4.76,4.76,0,0,4.76,0,0,0,0,0,14.29,0,9.52,0,0,4.76,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,9.52,9.52,0,9.52
"","","Je n’ai pas besoin de me sentir maître de mon véhicule si ce dernier est totalement autonome. 
Il s’agit de ce fait plutôt d’une question de confiance en la technologie plutôt que de maitrise de la voiture. 
Je me demanderais donc si je fais assez confiance à l’ordinateur et à la technologie pour lui confier la responsabilité de la conduite. ","",9,25,40,70,1,28,3,"  Je n’ai pas besoin de me sentir maître de mon véhicule si ce dernier est totalement autonome. 
Il s’agit de ce fait plutôt d’une question de confiance en la technologie plutôt que de maitrise de la voiture. 
Je me demanderais donc si je fais assez confiance à l’ordinateur et à la technologie pour lui confier la responsabilité de la conduite.  ","Level5","Car",3,"text5",5,21,63,25.4,330.16,60.32,17.46,17.46,11.11,0,0,6.35,0,0,20.63,12.7,3.17,1.59,6.35,1.59,6.35,17.46,7.94,3.17,3.17,0,0,3.17,0,0,0,4.76,3.17,0,0,0,0,28.57,3.17,6.35,6.35,4.76,6.35,6.35,7.94,6.35,1.59,0,0,1.59,1.59,0,0,0,0,15.87,7.94,3.17,1.59,3.17,9.52,0,0,0,0,0,0,0,0,11.11,4.76,0,0,0,0,0,0,6.35,6.35,0,4.76
"","","","Je ne ressens aucune maîtrise si je suis dans un véhicule de niveau 5.
J’aurais du mal à entièrement faire confiance au véhicule dans ce contexte là, du moins dans un premier temps. ",0,0,0,5,2,26,2,"   Je ne ressens aucune maîtrise si je suis dans un véhicule de niveau 5.
J’aurais du mal à entièrement faire confiance au véhicule dans ce contexte là, du moins dans un premier temps. ","Level5","Cloud",2,"text6",6,18,36,25,358.33,58.33,11.11,11.11,8.33,0,0,2.78,0,0,16.67,11.11,2.78,0,5.56,2.78,8.33,16.67,2.78,5.56,11.11,5.56,0,0,0,0,0,8.33,2.78,2.78,0,0,2.78,33.33,2.78,5.56,2.78,2.78,8.33,2.78,13.89,8.33,5.56,0,0,2.78,2.78,0,2.78,0,0,25,2.78,19.44,5.56,2.78,11.11,0,0,0,0,0,0,0,0,11.11,5.56,2.78,0,0,0,0,0,2.78,2.78,0,8.33
"","La voiture n’étant que qu’a un niveau 2, je me sens tout de même maître du véhicule car j’ai accès aux commandes principales. C’est simplement une aide à la conduite qui m’est proposée. ","","",0,10,20,30,1,24,2," La voiture n’étant que qu’a un niveau 2, je me sens tout de même maître du véhicule car j’ai accès aux commandes principales. C’est simplement une aide à la conduite qui m’est proposée.   ","Level2","Cloud",3,"text7",7,18,36,22.22,269.44,52.78,11.11,11.11,11.11,0,0,0,0,0,19.44,13.89,11.11,0,13.89,0,8.33,8.33,8.33,2.78,13.89,5.56,0,2.78,0,0,0,2.78,2.78,0,0,0,0,16.67,2.78,2.78,0,0,5.56,0,8.33,0,2.78,0,0,2.78,0,0,0,0,0,11.11,5.56,5.56,0,2.78,2.78,0,0,0,0,0,0,0,0,22.22,5.56,2.78,0,0,0,0,0,13.89,13.89,0,8.33
"","","","Je ne me sentirai pas maître de mon véhicule. Le fait de n’avoir aucun contrôle sur ce véhicule et sur les situations qui pourraient se présenter m’effraierait. Je craindrais également une défaïence du côté du système le pilotant à distance. ",0,0,0,15,2,25,2,"   Je ne me sentirai pas maître de mon véhicule. Le fait de n’avoir aucun contrôle sur ce véhicule et sur les situations qui pourraient se présenter m’effraierait. Je craindrais également une défaïence du côté du système le pilotant à distance. ","Level5","Cloud",0,"text8",8,14.3333333333333,43,34.88,311.63,55.81,20.93,20.93,13.95,0,0,6.98,0,0,18.6,16.28,2.33,0,4.65,9.3,0,11.63,4.65,9.3,6.98,2.33,0,0,0,0,0,4.65,0,4.65,4.65,0,0,20.93,2.33,4.65,0,2.33,0,2.33,6.98,4.65,2.33,0,0,2.33,0,0,0,0,0,18.6,4.65,9.3,2.33,2.33,6.98,0,0,0,0,0,0,0,0,11.63,6.98,0,0,0,0,0,0,4.65,4.65,0,6.98
"","Je ne me sentirai pas totalement maître de mon véhicule et je n’aurai pas confiance en l’ordinateur à distance le dirigeant. 
","","",0,0,2,5,1,26,2," Je ne me sentirai pas totalement maître de mon véhicule et je n’aurai pas confiance en l’ordinateur à distance le dirigeant. 
  ","Level2","Cloud",1,"text9",9,22,22,36.36,336.36,59.09,22.73,22.73,18.18,0,0,4.55,0,0,9.09,9.09,0,0,0,9.09,4.55,13.64,4.55,18.18,0,0,0,4.55,0,0,0,4.55,4.55,0,0,0,0,31.82,4.55,4.55,0,0,9.09,4.55,9.09,4.55,4.55,0,0,4.55,0,0,0,0,0,13.64,4.55,9.09,0,9.09,13.64,0,0,0,0,0,0,0,0,13.64,4.55,0,0,0,0,0,0,9.09,9.09,0,4.55
"","","Dans ce cas je ne me sens plus du tout maitre du véhicule, et j'avoue que devant les cas nombreux et complexes que
Comporte la circulation auromobile, je ne me sens pas rassurée. Je pense qu'il faudrait que je puisse reprendre la main sur la conduite en cas de danger pour pouvoir me rassurer. ","",1,1,1,1,2,62,3,"  Dans ce cas je ne me sens plus du tout maitre du véhicule, et j'avoue que devant les cas nombreux et complexes que
Comporte la circulation auromobile, je ne me sens pas rassurée. Je pense qu'il faudrait que je puisse reprendre la main sur la conduite en cas de danger pour pouvoir me rassurer.  ","Level5","Car",1,"text10",10,29,58,22.41,287.93,51.72,13.79,13.79,12.07,0,0,1.72,0,0,12.07,15.52,1.72,3.45,5.17,3.45,5.17,12.07,8.62,5.17,3.45,0,0,5.17,0,0,0,6.9,5.17,1.72,0,1.72,0,29.31,6.9,0,0,3.45,3.45,0,12.07,10.34,5.17,0,0,5.17,1.72,1.72,0,0,0,10.34,1.72,3.45,1.72,1.72,0,0,0,0,0,0,0,0,0,10.34,3.45,3.45,0,0,0,0,0,3.45,3.45,0,10.34
